	feature_index	feature_name	feature_weight
338	338	vectorizer__alt es	1.0901435091134124
269	269	vectorizer__aind t	1.0924692101020117
182	182	vectorizer__aeeee dilm caiu	1.0996546538443652
113	113	vectorizer__acord ortogr	1.1028474531697878
230	230	vectorizer__agor vai	1.1045792682084716
93	93	vectorizer__ach tud	1.1072572156138023
294	294	vectorizer__aldrab	1.1100299707252697
152	152	vectorizer__adicion dat tour	1.1112507404348615
129	129	vectorizer__activ	1.1149525621246283
410	410	vectorizer__and c	1.1162980292329823
292	292	vectorizer__alaket j je	1.1170416757643113
400	400	vectorizer__ampl	1.1181314097224284
451	451	vectorizer__ano pra	1.1186054809433599
15	15	vectorizer__abr	1.1210044300928896
442	442	vectorizer__ano	1.1220018088722679
82	82	vectorizer__ach mesm	1.1248685440979023
252	252	vectorizer__ai urlh	1.1272194887666005
26	26	vectorizer__abril semin	1.1278010495124535
383	383	vectorizer__amig hom	1.1316226390421884
78	78	vectorizer__ach iss	1.1332122666853208
393	393	vectorizer__amizad outr mulh	1.1350816871291898
398	398	vectorizer__amoresex	1.1374630864083335
244	244	vectorizer__ah liberdad acab	1.1497451489105905
43	43	vectorizer__acab descobr	1.1500395660367062
440	440	vectorizer__animal	1.1511859970485308
29	29	vectorizer__absolv	1.1533900286377736
147	147	vectorizer__adeu	1.1551163798896642
373	373	vectorizer__ame san	1.159296498162524
183	183	vectorizer__aen	1.1625649088271188
90	90	vectorizer__ach rac	1.1631867933351754
53	53	vectorizer__acamp	1.1673295443185192
448	448	vectorizer__ano nov	1.177452783574025
158	158	vectorizer__admir	1.1786929510207642
354	354	vectorizer__am sex	1.1789765559106098
359	359	vectorizer__amanh hj	1.1811147946287437
83	83	vectorizer__ach muit	1.18291674110657
214	214	vectorizer__agor	1.1834783411618932
28	28	vectorizer__absolut	1.184356197258954
236	236	vectorizer__agred	1.1978711245838705
302	302	vectorizer__alexandr	1.2009336992434565
19	19	vectorizer__abr mentionh	1.2031592616373123
20	20	vectorizer__abr olh	1.2031592616373123
314	314	vectorizer__algum aind	1.2034719162430707
339	339	vectorizer__altur	1.2057373584798508
372	372	vectorizer__ame rid cul	1.2074313495663351
0	0	vectorizer__ab	1.2090283208597192
396	396	vectorizer__amooo	1.2099057230581205
321	321	vectorizer__algum pesso	1.2102151687527158
18	18	vectorizer__abr m	1.2124995529952296
363	363	vectorizer__ambi	1.2136888797784702
436	436	vectorizer__angol vier nao	1.2136888797784702
217	217	vectorizer__agor mentionh	1.2182720651351315
180	180	vectorizer__aeeee	1.221713576776178
260	260	vectorizer__aind n ratific	1.2218217372409543
45	45	vectorizer__acab ess ci	1.2225211117271686
143	143	vectorizer__ade	1.2230201364947755
165	165	vectorizer__ador	1.2243703281893612
206	206	vectorizer__agend esquerd	1.2257487015027004
394	394	vectorizer__amo	1.2272159797783255
237	237	vectorizer__agres	1.228220071415519
196	196	vectorizer__afim aqu fic	1.228372614957513
225	225	vectorizer__agor t	1.2289545390234615
105	105	vectorizer__acolh refugi vind	1.2363074016547215
413	413	vectorizer__angel	1.2364809158805423
87	87	vectorizer__ach nom	1.2373252610603456
33	33	vectorizer__abus	1.238359761522471
168	168	vectorizer__ador est cat	1.2402179081992946
80	80	vectorizer__ach m	1.2416393775058367
135	135	vectorizer__ad	1.243209586294324
150	150	vectorizer__adicion	1.2445766220188756
366	366	vectorizer__ame	1.2468696984232421
465	465	vectorizer__antig	1.2506323963487211
10	10	vectorizer__abert inscr	1.2559445986549256
392	392	vectorizer__amizad outr	1.2587273000162573
92	92	vectorizer__ach t	1.2635351899427187
333	333	vectorizer__alivi	1.2637137365447892
190	190	vectorizer__afect	1.2662929543094226
51	51	vectorizer__acab qu	1.2669583933098418
355	355	vectorizer__am urlh	1.2689502892749995
141	141	vectorizer__adapt	1.2777523246237539
317	317	vectorizer__algum jog	1.278321350160119
423	423	vectorizer__angol d piedad	1.2833347770263004
50	50	vectorizer__acab pag	1.2970561740139641
378	378	vectorizer__americ s	1.2979022047639066
291	291	vectorizer__alaket j	1.2979022047639066
251	251	vectorizer__ai projet del	1.2981405715626975
102	102	vectorizer__acl	1.298726485057954
307	307	vectorizer__algu m	1.3038452520758663
318	318	vectorizer__algum jog olimp	1.3083860675218657
40	40	vectorizer__aca	1.3094761574599136
30	30	vectorizer__absurd	1.312325687563863
238	238	vectorizer__aguard	1.3127112684332376
46	46	vectorizer__acab faz	1.313025619149937
330	330	vectorizer__aliment c	1.3137088773779142
112	112	vectorizer__acord ced amanh	1.320934012127835
